DATE,POWER_KWH
2014-Jan,9417010.82301939
2014-Feb,7893327.46335855
2014-Mar,6436805.32566743
2014-Apr,5756614.16228763
2014-May,5570785.17315229
2014-Jun,7479483.74065434
2014-Jul,8522769.5415976
2014-Aug,9080593.07685832
2014-Sep,7909744.70574955
2014-Oct,5661777.73712673
2014-Nov,5568654.46645786
2014-Dec,6919607.66263904
